customer_state,delivered_orders,avg_delivery_days,avg_estimated_days,on_time_pct,avg_review_score,pct_of_orders
SP,40399,8.7,19.1,94.1,4.25,41.99
RJ,12310,15.3,26.3,86.5,3.97,12.80
MG,11319,12.0,24.5,94.4,4.19,11.77
RS,5327,15.3,28.4,92.8,4.19,5.54
PR,4903,12.0,24.5,95.0,4.24,5.10
SC,3537,14.9,25.7,90.2,4.13,3.68
BA,3253,19.3,29.4,86.0,3.93,3.38
DF,2074,12.9,24.2,92.9,4.13,2.16
ES,1992,15.8,25.5,87.8,4.08,2.07
GO,1950,15.6,27.0,91.8,4.10,2.03
PE,1587,18.4,30.9,89.2,4.08,1.65
CE,1273,21.2,31.2,84.6,3.94,1.32
PA,942,23.8,37.0,87.6,3.91,0.98
MT,885,18.1,31.7,93.2,4.14,0.92
MA,713,21.5,30.3,80.4,3.83,0.74
MS,701,15.6,26.0,88.4,4.16,0.73
PB,516,20.4,33.0,89.0,4.07,0.54
PI,475,19.4,30.0,84.0,3.99,0.49
RN,470,19.2,32.0,89.1,4.14,0.49
AL,396,24.5,32.5,76.0,3.85,0.41
SE,332,21.4,30.6,84.6,3.90,0.35
TO,274,17.7,29.1,87.2,4.15,0.28
RO,243,19.4,38.8,97.1,4.17,0.25
AM,145,26.4,45.3,95.9,4.24,0.15
AC,80,21.0,41.1,96.3,4.09,0.08
AP,67,27.2,46.2,95.5,4.24,0.07
RR,40,29.9,45.5,87.5,3.90,0.04
