cohort,m0_customers,m1_pct,m2_pct,m3_pct,m6_pct,m9_pct,m12_pct
2017-01,765,0.39,0.26,0.13,0.52,,0.78
2017-02,1752,0.23,0.29,0.11,0.23,0.23,0.17
2017-03,2636,0.49,0.38,0.38,0.15,0.08,0.23
2017-04,2353,0.59,0.21,0.17,0.34,0.17,0.08
2017-05,3596,0.50,0.50,0.39,0.42,0.31,0.25
2017-06,3139,0.48,0.35,0.41,0.38,0.22,0.16
2017-07,3895,0.51,0.36,0.26,0.31,0.26,0.13
2017-08,4184,0.69,0.33,0.26,0.29,0.14,0.10
2017-09,4131,0.68,0.53,0.29,0.22,0.19,
2017-10,4470,0.69,0.25,0.09,0.22,0.20,
2017-11,7305,0.55,0.38,0.18,0.11,0.05,
2017-12,5487,0.26,0.27,0.35,0.16,,
2018-01,7026,0.34,0.38,0.28,0.17,,
2018-02,6451,0.39,0.39,0.29,0.20,,
2018-03,6966,0.46,0.32,0.29,,,
2018-04,6711,0.58,0.31,0.24,,,
2018-05,6624,0.53,0.27,0.21,,,
2018-06,5941,0.42,0.29,,,,
2018-07,6071,0.72,,,,,
2018-08,6271,,,,,,
